,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,num_rooms,factor
47,1189,3,3,Urban,2007,244539,6,205.67
48,1957,4,2,Rural,1994,239300,6,122.28
49,1686,2,3,Urban,1994,249148,5,147.77
50,1957,3,2,Rural,1992,304198,5,155.44
51,1562,3,3,Rural,2013,89379,6,57.22
52,2899,3,3,Rural,1988,427295,6,147.39
53,2590,5,2,Suburb,1957,328502,7,126.83
54,2267,3,2,Urban,1989,215867,5,95.22
55,1831,2,2,Rural,2000,190059,4,103.8
56,2528,5,1,Urban,1969,259751,6,102.75
57,2154,2,1,Rural,2015,166810,3,77.44
58,2508,5,3,Suburb,2007,352932,8,140.72
59,2842,5,3,Urban,2014,422043,8,148.5
60,1646,4,3,Suburb,1994,91424,7,55.54
61,1020,5,1,Rural,1983,220054,6,215.74
62,1840,5,3,Suburb,1961,216148,8,117.47
63,1166,2,2,Suburb,1972,161587,4,138.58
64,2297,2,2,Urban,2017,194968,4,84.88
65,1387,3,1,Rural,2002,152829,4,110.19
66,1600,4,2,Rural,2002,256726,6,160.45
67,1315,5,2,Suburb,1989,98039,7,74.55
68,1013,4,3,Urban,2002,164858,7,162.74
69,1241,3,2,Urban,1985,199373,5,160.66
70,1776,4,2,Urban,2014,181245,6,102.05
71,2369,5,1,Suburb,1963,209701,6,88.52
72,1564,2,2,Rural,1983,163053,4,104.25
73,1897,4,2,Rural,1975,304005,6,160.26
74,2363,5,3,Urban,2004,308831,8,130.69
75,1091,3,3,Urban,2012,194294,6,178.09
76,2390,5,3,Urban,2019,172777,8,72.29
77,1955,4,1,Suburb,1995,197656,5,101.1
78,2478,5,3,Urban,1986,273365,8,110.32
79,2451,5,2,Rural,1972,216047,7,88.15
80,1508,4,1,Urban,1965,149586,5,99.19
81,1775,4,2,Suburb,1981,214171,6,120.66
82,2966,3,2,Rural,1956,277419,5,93.53
83,1034,5,3,Rural,1993,117295,8,113.44
84,1205,2,1,Urban,1996,180761,3,150.01
85,2104,4,1,Suburb,1954,202715,5,96.35
86,2955,5,3,Rural,2012,378404,8,128.06
87,2585,2,1,Suburb,1961,257776,3,99.72
88,2895,2,2,Suburb,2021,266047,4,91.9
89,2411,5,1,Rural,1958,337646,6,140.04
90,2025,5,2,Rural,1993,240146,7,118.59
91,2021,5,1,Suburb,1971,92642,6,45.84
92,2413,2,1,Urban,1995,152038,3,63.01
93,1565,5,3,Rural,1957,149849,8,95.75
94,2129,4,3,Urban,2005,220384,7,103.52
95,2795,2,1,Rural,1977,305659,3,109.36
96,2845,4,2,Urban,1996,318297,6,111.88
97,2500,4,3,Rural,1984,230749,7,92.3
98,1702,5,3,Urban,1970,201926,8,118.64
99,1401,4,3,Suburb,1982,149577,7,106.76
100,1729,5,1,Rural,2019,171877,6,99.41
101,2579,2,2,Urban,1997,245277,4,95.11
102,1161,4,2,Suburb,2003,288571,6,248.55
103,1201,5,1,Urban,1951,87805,6,73.11
104,2981,3,2,Rural,1982,267127,5,89.61
105,1995,5,3,Suburb,1965,221218,8,110.89
106,1269,3,2,Suburb,1999,218785,5,172.41
107,2886,5,3,Rural,1969,315607,8,109.36
108,1815,3,3,Urban,2016,217968,6,120.09
109,2294,4,1,Rural,1994,353344,5,154.03
110,1455,3,3,Urban,1984,187003,6,128.52
111,2485,4,2,Rural,1978,222855,6,89.68
112,2750,4,2,Rural,1994,366549,6,133.29
113,2275,5,2,Rural,1964,259473,7,114.05
114,2016,4,2,Urban,1952,212440,6,105.38
115,2725,2,2,Urban,2018,237067,4,87.0
116,1295,3,3,Urban,1983,158358,6,122.28
117,2748,5,1,Suburb,2020,255620,6,93.02
118,1719,4,1,Suburb,1953,190659,5,110.91
119,2772,3,2,Urban,1968,284985,5,102.81
120,1337,3,3,Urban,1970,214741,6,160.61
121,1878,2,1,Suburb,1964,128693,3,68.53
122,2076,3,2,Rural,1966,184052,5,88.66
123,1791,5,3,Rural,2003,242865,8,135.6
124,2945,5,1,Urban,1986,295357,6,100.29
125,1216,4,3,Rural,2003,107869,7,88.71
126,1763,4,2,Urban,1971,207380,6,117.63
127,1187,5,3,Suburb,1957,132829,8,111.9
128,1379,3,1,Urban,1960,84494,4,61.27
129,1492,3,1,Suburb,2019,53361,4,35.76
130,2064,2,3,Rural,1958,296199,5,143.51
131,2180,4,1,Urban,1951,273925,5,125.65
132,1014,3,3,Urban,1981,204341,6,201.52
133,2836,3,3,Urban,2000,228582,6,80.6
134,1064,4,2,Suburb,1986,237384,6,223.11
135,2880,5,2,Rural,1955,312246,7,108.42
136,2862,3,3,Urban,1961,219409,6,76.66
137,1520,2,1,Rural,2003,201335,3,132.46
138,2367,3,2,Suburb,1995,221414,5,93.54
139,2152,3,1,Rural,1982,306840,4,142.58
140,1647,2,3,Urban,1967,126756,5,76.96
141,2495,5,1,Urban,1987,328703,6,131.74
142,2086,2,1,Suburb,2008,141074,3,67.63
143,2162,2,3,Rural,1956,220712,5,102.09
144,2522,4,2,Urban,1964,319177,6,126.56
145,1592,3,2,Suburb,1950,245299,5,154.08
146,1391,5,1,Rural,1995,51154,6,36.77
147,2698,3,3,Urban,1981,314018,6,116.39
148,1418,5,3,Suburb,1998,222904,8,157.2
149,1288,2,2,Suburb,1959,115698,4,89.83
150,1378,4,3,Suburb,1966,140715,7,102.12
151,2796,2,3,Suburb,1969,178353,5,63.79
152,2513,3,1,Suburb,2000,280022,4,111.43
153,1230,4,1,Rural,1971,136418,5,110.91
154,2017,4,2,Urban,1969,195804,6,97.08
155,1040,3,2,Rural,2014,98933,5,95.13
156,2051,5,1,Suburb,1953,185053,6,90.23
157,1134,4,3,Urban,2003,160764,7,141.77
158,1200,5,3,Suburb,2014,156394,8,130.33
159,2863,5,1,Suburb,2000,333464,6,116.47
160,1779,5,1,Urban,1960,211994,6,119.16
161,1929,4,1,Rural,1976,252780,5,131.04
162,2056,2,1,Urban,1975,288750,3,140.44
163,2071,4,3,Rural,1966,185482,7,89.56
164,1502,2,3,Suburb,1991,119671,5,79.67
165,1406,4,2,Suburb,1997,148891,6,105.9
166,2597,2,1,Rural,1982,235810,3,90.8
167,2751,2,2,Suburb,2010,357765,4,130.05
168,1804,4,3,Rural,1978,216771,7,120.16
169,1098,5,2,Rural,2012,102580,7,93.42
170,1683,5,3,Urban,1986,208774,8,124.05
171,2895,2,3,Suburb,2005,302455,5,104.47
172,1725,3,2,Urban,1965,208559,5,120.9
173,2570,3,2,Urban,2005,276435,5,107.56
174,1960,4,1,Suburb,1991,220787,5,112.65
175,2762,4,3,Urban,1973,354268,7,128.27
176,1612,4,1,Suburb,2018,142421,5,88.35
177,2966,3,1,Suburb,1980,299147,4,100.86
178,2485,5,3,Urban,1960,321647,8,129.44
179,1642,4,2,Suburb,1951,216977,6,132.14
180,2792,4,1,Suburb,2020,243180,5,87.1
181,2028,5,1,Suburb,1984,184211,6,90.83
182,2241,2,3,Suburb,2011,175780,5,78.44
183,1502,4,2,Urban,2003,162271,6,108.04
184,1766,3,2,Rural,2018,240727,5,136.31
185,1397,3,1,Urban,2000,186901,4,133.79
186,1870,4,3,Rural,1958,208692,7,111.6
187,1794,3,1,Rural,1963,114334,4,63.73
188,1392,5,2,Rural,2005,225281,7,161.84
189,1206,2,1,Suburb,1983,110852,3,91.92
190,2038,2,3,Rural,1950,206119,5,101.14
191,2881,4,1,Suburb,1987,292218,5,101.43
192,2577,4,2,Suburb,1966,209166,6,81.17
193,1891,2,3,Suburb,1965,283220,5,149.77
194,2484,2,3,Urban,1997,354539,5,142.73
195,2714,4,3,Rural,1999,290954,7,107.2
196,2598,3,3,Urban,2020,207378,6,79.82
197,1863,4,3,Suburb,1990,267934,7,143.82
198,1742,5,1,Urban,1993,235035,6,134.92
199,2264,4,3,Suburb,1964,246612,7,108.93
200,1563,4,2,Urban,2010,314868,6,201.45
201,2020,4,3,Suburb,1999,278093,7,137.67
202,1095,4,2,Suburb,2001,88443,6,80.77
203,2923,4,2,Urban,2001,235396,6,80.53
204,2757,4,2,Suburb,1985,280504,6,101.74
205,1484,3,2,Rural,1982,273072,5,184.01
206,2430,4,2,Urban,1994,252667,6,103.98
207,1230,2,1,Urban,1951,133914,3,108.87
208,1748,4,2,Suburb,1950,142718,6,81.65
209,2678,3,2,Urban,2019,266197,5,99.4
210,2194,5,2,Rural,1996,245434,7,111.87
211,1540,2,1,Urban,2013,177796,3,115.45
212,2059,4,3,Rural,1967,226582,7,110.04
213,1524,4,2,Urban,2003,170745,6,112.04
214,2183,2,1,Rural,1984,194059,3,88.9
215,2862,4,1,Urban,2008,347187,5,121.31
216,2722,3,1,Rural,1985,345979,4,127.1
217,2266,4,3,Suburb,1975,323982,7,142.98
218,2109,5,1,Urban,1994,185910,6,88.15
219,2819,3,2,Urban,2018,231642,5,82.17
220,1577,4,2,Rural,1979,181472,6,115.07
221,1681,5,2,Urban,1982,247683,7,147.34
222,1556,2,3,Rural,1972,174120,5,111.9
223,2597,3,1,Suburb,1970,249931,4,96.24
224,2976,4,2,Rural,2012,352084,6,118.31
225,2012,4,2,Urban,2019,356257,6,177.07
226,1645,2,2,Suburb,2017,115739,4,70.36
227,1795,2,3,Rural,1985,265399,5,147.85
228,2051,3,2,Rural,1986,205543,5,100.22
229,2643,3,1,Suburb,1950,248156,4,93.89
230,2579,3,1,Urban,1975,318796,4,123.61
231,2363,4,3,Urban,1991,254479,7,107.69
232,2821,4,3,Urban,1989,248782,7,88.19
233,2981,3,3,Suburb,2002,320922,6,107.66
234,2354,4,1,Rural,2011,265274,5,112.69
235,2663,2,3,Suburb,1993,283302,5,106.38
236,2529,5,3,Rural,1985,291196,8,115.14
237,2371,4,1,Suburb,1953,240277,5,101.34
238,2496,3,2,Rural,1970,316709,5,126.89
239,2254,4,3,Rural,1966,267725,7,118.78
240,1189,2,2,Suburb,1965,52034,4,43.76
241,2248,3,2,Suburb,1990,157261,5,69.96
242,2408,5,2,Suburb,2004,349887,7,145.3
243,2400,3,2,Rural,2006,302582,5,126.08
244,2306,3,3,Suburb,2015,267740,6,116.11
245,2981,3,3,Rural,1987,296943,6,99.61
246,1632,4,3,Rural,2005,211666,7,129.7
247,1627,5,1,Suburb,1986,240463,6,147.8
248,1972,2,1,Urban,1999,221901,3,112.53
249,2768,4,2,Urban,2004,337511,6,121.93
250,2282,5,1,Rural,1950,351439,6,154.0
251,2382,5,2,Rural,2014,207719,7,87.2
252,1709,4,2,Urban,2014,187379,6,109.64
253,2479,3,3,Rural,1993,325105,6,131.14
254,2434,5,3,Urban,1961,234065,8,96.16
255,1648,2,1,Rural,2002,168976,3,102.53
256,1317,4,3,Rural,2010,72491,7,55.04
257,2700,5,1,Suburb,1962,397825,6,147.34
258,2248,2,3,Urban,1991,224680,5,99.95
259,2842,2,3,Rural,1995,297610,5,104.72
260,2257,2,1,Urban,1991,211358,3,93.65
261,1683,2,2,Suburb,1965,191156,4,113.58
262,1663,4,1,Urban,1993,198444,5,119.33
263,2998,2,3,Rural,2019,227603,5,75.92
264,2850,4,2,Urban,1965,227375,6,79.78
265,2397,2,3,Suburb,1971,311492,5,129.95
266,2695,2,3,Urban,1984,341036,5,126.54
267,2631,4,3,Urban,1998,329215,7,125.13
268,2495,3,2,Urban,2020,189723,5,76.04
269,2256,5,3,Urban,2013,315304,8,139.76
270,2715,5,1,Rural,1980,229019,6,84.35
271,2136,4,1,Urban,1950,218041,5,102.08
272,2853,2,1,Suburb,1974,256368,3,89.86
273,2520,4,2,Urban,1969,427589,6,169.68
274,1441,2,1,Suburb,1957,161117,3,111.81
275,1563,4,3,Suburb,2013,182495,7,116.76
276,2291,5,2,Suburb,1965,276166,7,120.54
277,2533,4,3,Suburb,2004,314517,7,124.17
278,2830,5,3,Rural,1975,272012,8,96.12
279,2409,5,3,Urban,2014,342250,8,142.07
280,2410,5,1,Urban,1977,258024,6,107.06
281,2136,4,1,Rural,1995,115460,5,54.05
282,2636,3,2,Urban,2003,240420,5,91.21
283,2648,4,2,Rural,2003,388952,6,146.89
284,1951,4,1,Suburb,2021,250119,5,128.2
285,2104,3,1,Urban,1998,210587,4,100.09
286,1698,3,3,Suburb,1995,234244,6,137.95
287,1112,5,1,Urban,1950,69294,6,62.31
288,1001,2,3,Urban,1993,163838,5,163.67
289,1641,2,1,Urban,1953,252128,3,153.64
290,1219,5,3,Suburb,1980,117989,8,96.79
291,2589,4,1,Rural,1964,313948,5,121.26
292,1854,2,1,Suburb,1950,254919,3,137.5
293,2759,4,2,Rural,2021,197522,6,71.59
294,2248,3,2,Urban,1955,198494,5,88.3
295,1384,3,3,Urban,1976,152205,6,109.97
296,2426,5,2,Urban,1975,308529,7,127.18
297,2661,4,2,Urban,2015,308855,6,116.07
298,2153,5,1,Suburb,1962,246861,6,114.66
299,2076,2,3,Rural,2020,225867,5,108.8
300,2707,2,2,Rural,1983,249678,4,92.23
301,1729,2,2,Rural,1982,108636,4,62.83
302,2695,4,1,Urban,1989,299819,5,111.25
303,2733,5,1,Suburb,1992,290095,6,106.15
304,2439,5,1,Urban,1956,272078,6,111.55
305,1246,2,3,Rural,1988,130941,5,105.09
306,1835,5,1,Suburb,2015,241849,6,131.8
307,2462,3,3,Suburb,1985,206273,6,83.78
308,1202,3,1,Urban,2013,155086,4,129.02
309,2207,3,2,Suburb,1953,169743,5,76.91
310,1122,3,3,Suburb,1971,148324,6,132.2
311,1400,5,1,Suburb,2020,184460,6,131.76
312,1766,3,1,Urban,1953,138095,4,78.2
313,1293,3,2,Urban,2013,205415,5,158.87
314,1279,3,2,Suburb,1971,183265,5,143.29
315,2860,3,2,Urban,2011,284616,5,99.52
316,1883,3,1,Suburb,1989,181948,4,96.63
317,2633,4,2,Rural,1969,284004,6,107.86
318,1197,4,2,Rural,1958,90960,6,75.99
319,1981,3,3,Suburb,2014,198755,6,100.33
320,2930,3,3,Rural,1972,370460,6,126.44
321,2534,5,3,Rural,1984,348379,8,137.48
322,1751,3,1,Rural,2008,270704,4,154.6
323,1143,2,3,Suburb,1963,168932,5,147.8
324,1608,4,1,Urban,1993,189126,5,117.62
325,2224,3,2,Suburb,1971,218169,5,98.1
326,2147,4,1,Suburb,1977,199220,5,92.79
327,1186,3,1,Urban,2008,129960,4,109.58
328,2349,2,2,Suburb,1996,281508,4,119.84
329,1463,3,3,Suburb,2017,169379,6,115.78
330,2372,4,3,Suburb,2019,248599,7,104.81
331,2794,4,3,Rural,1966,411678,7,147.34
332,1659,4,2,Suburb,1980,119033,6,71.75
333,1763,5,1,Suburb,1963,230075,6,130.5
334,1954,4,2,Urban,1998,122605,6,62.75
335,2955,3,2,Rural,2016,296999,5,100.51
336,1402,2,2,Rural,1970,109470,4,78.08
337,2369,2,2,Suburb,1962,246212,4,103.93
338,2986,3,1,Rural,1999,310583,4,104.01
339,2534,5,3,Rural,2017,233757,8,92.25
340,1146,3,3,Urban,1961,100102,6,87.35
341,2171,4,2,Urban,1997,199325,6,91.81
342,1863,5,1,Rural,2013,331027,6,177.68
343,2734,3,2,Urban,1964,231041,5,84.51
344,2843,5,1,Suburb,1965,333530,6,117.32
345,1488,2,2,Urban,2021,61093,4,41.06
346,1928,3,3,Suburb,1999,205778,6,106.73
347,2959,3,3,Urban,1990,384571,6,129.97
348,2663,2,2,Rural,1953,339773,4,127.59
349,1550,5,3,Suburb,1969,186745,8,120.48
350,1337,2,2,Urban,1957,185559,4,138.79
351,1871,5,1,Urban,2017,213894,6,114.32
352,1640,3,1,Suburb,1996,180978,4,110.35
353,2802,5,1,Urban,1982,243012,6,86.73
354,2976,5,1,Rural,1954,265076,6,89.07
355,1472,4,2,Suburb,2017,163315,6,110.95
356,2969,4,3,Rural,1990,384847,7,129.62
357,1150,4,1,Suburb,2010,190479,5,165.63
358,2438,2,3,Suburb,1973,204129,5,83.73
359,2321,2,2,Suburb,1976,249930,4,107.68
360,2634,4,3,Suburb,1978,372750,7,141.51
361,1262,3,3,Rural,2016,189650,6,150.28
362,2787,3,3,Rural,1986,308299,6,110.62
363,1143,3,2,Suburb,2002,95784,5,83.8
364,1345,2,2,Suburb,1951,165456,4,123.02
365,1623,5,2,Rural,1986,236532,7,145.74
366,2016,2,3,Suburb,2021,212191,5,105.25
367,2595,4,1,Suburb,2014,298280,5,114.94
368,1880,5,1,Rural,1997,172765,6,91.9
369,1001,3,3,Rural,1998,151917,6,151.77
370,1896,2,1,Rural,1996,196497,3,103.64
371,2327,2,1,Urban,1953,212603,3,91.36
372,1253,4,3,Suburb,1952,205828,7,164.27
373,2675,3,2,Rural,1985,350608,5,131.07
374,1452,2,1,Suburb,1955,64056,3,44.12
375,2060,2,2,Urban,1983,202645,4,98.37
376,2183,5,1,Rural,2001,215636,6,98.78
377,2014,2,3,Rural,1980,210337,5,104.44
378,1008,5,3,Suburb,1983,161064,8,159.79
379,2256,2,2,Suburb,1991,162733,4,72.13
380,2122,3,2,Rural,1997,283190,5,133.45
381,2682,4,2,Rural,2005,257019,6,95.83
382,1815,3,2,Suburb,1967,161315,5,88.88
383,1207,4,3,Suburb,1963,171345,7,141.96
384,2154,2,3,Rural,2018,301758,5,140.09
385,1403,3,3,Urban,2007,186512,6,132.94
386,1151,5,2,Suburb,2019,147962,7,128.55
387,1053,4,3,Suburb,2005,96856,7,91.98
388,2143,4,3,Suburb,2002,241976,7,112.91
389,2696,2,1,Rural,2018,256547,3,95.16
390,2943,4,1,Rural,2009,245612,5,83.46
391,1627,4,1,Rural,1981,192617,5,118.39
392,1586,4,2,Suburb,1996,234538,6,147.88
393,2648,2,2,Suburb,1971,266526,4,100.65
394,2991,3,3,Urban,1953,411275,6,137.5
395,2443,2,3,Rural,1974,241617,5,98.9
396,2445,5,2,Rural,2010,230464,7,94.26
397,1103,4,1,Suburb,1961,249886,5,226.55
398,2875,4,3,Suburb,1980,320712,7,111.55
399,1253,3,1,Urban,1950,131536,4,104.98
400,2250,4,3,Suburb,2010,258682,7,114.97
401,2135,3,1,Suburb,1955,236722,4,110.88
402,1509,4,3,Suburb,1971,152418,7,101.01
403,2496,4,1,Urban,1961,277449,5,111.16
404,1098,2,1,Urban,1972,97640,3,88.93
405,1152,2,2,Urban,1984,68865,4,59.78
406,2884,5,3,Urban,1963,292602,8,101.46
407,1913,3,1,Urban,1979,163127,4,85.27
408,2919,5,2,Rural,1971,316117,7,108.3
409,1877,2,3,Suburb,1965,173592,5,92.48
410,1337,3,2,Urban,2020,245241,5,183.43
411,2729,2,1,Urban,1964,299136,3,109.61
412,1821,3,3,Urban,1951,102621,6,56.35
413,2186,4,1,Urban,1971,174741,5,79.94
414,2743,5,1,Suburb,2012,303840,6,110.77
415,1956,5,2,Suburb,1964,255501,7,130.62
416,2704,3,1,Rural,1968,305226,4,112.88
417,1160,5,3,Suburb,1970,174049,8,150.04
418,2603,2,2,Urban,1976,240370,4,92.34
419,1800,5,1,Urban,1968,310733,6,172.63
420,1397,3,1,Urban,1975,125680,4,89.96
421,2300,5,1,Urban,1998,303254,6,131.85
422,1815,5,2,Suburb,2007,137932,7,76.0
423,2939,2,3,Suburb,2016,238181,5,81.04
424,2527,4,2,Rural,1974,299144,6,118.38
425,2919,2,1,Suburb,1971,340122,3,116.52
426,2415,5,2,Urban,1963,230193,7,95.32
427,2158,5,1,Urban,1958,300495,6,139.25
428,2218,4,2,Suburb,1971,267560,6,120.63
429,1400,4,1,Rural,1964,173748,5,124.11
430,1639,2,2,Rural,1989,198113,4,120.87
431,2056,4,1,Suburb,2014,237224,5,115.38
432,1687,2,1,Suburb,2002,130384,3,77.29
433,1459,3,2,Suburb,1980,248587,5,170.38
434,1954,5,2,Urban,1959,268827,7,137.58
435,2906,4,1,Suburb,1983,307426,5,105.79
436,1469,3,3,Suburb,1986,224294,6,152.68
437,2398,3,1,Rural,1962,335992,4,140.11
438,2045,2,1,Rural,1987,265649,3,129.9
439,1749,2,3,Urban,1994,218961,5,125.19
440,2693,4,1,Rural,1959,257513,5,95.62
441,1037,2,2,Rural,1971,86619,4,83.53
442,1229,3,2,Suburb,2010,48780,5,39.69
443,2388,3,3,Rural,1987,274896,6,115.12
444,1562,5,1,Rural,2007,181238,6,116.03
445,1437,3,2,Rural,1975,49052,5,34.14
446,2799,4,1,Rural,1998,182649,5,65.26
447,2306,5,3,Rural,2011,347942,8,150.89
448,1026,2,2,Rural,1958,31998,4,31.19
449,1225,5,3,Rural,2009,181103,8,147.84
450,2300,3,1,Rural,1979,172216,4,74.88
451,1797,4,1,Urban,1970,273263,5,152.07
452,2632,2,1,Suburb,1999,306987,3,116.64
453,1283,2,3,Rural,1978,172934,5,134.79
454,1878,3,2,Suburb,1989,159685,5,85.03
455,1959,4,3,Rural,1966,244916,7,125.02
456,2504,3,2,Urban,2017,250928,5,100.21
457,1452,3,1,Rural,2013,86276,4,59.42
458,2019,4,1,Urban,1972,209030,5,103.53
459,2852,3,3,Rural,1956,267060,6,93.64
460,1815,4,2,Rural,1983,158868,6,87.53
461,1658,4,1,Suburb,1973,200255,5,120.78
462,2539,3,1,Rural,1956,197039,4,77.6
463,1546,3,3,Rural,1957,251427,6,162.63
464,2215,5,3,Urban,1952,298799,8,134.9
465,2072,2,2,Suburb,1953,209615,4,101.17
466,2535,2,1,Rural,2012,343628,3,135.55
467,1016,4,2,Suburb,2015,86743,6,85.38
468,2195,5,2,Suburb,2018,260505,7,118.68
469,2243,4,2,Rural,1959,267664,6,119.33
470,1157,5,3,Rural,2012,87138,8,75.31
471,1476,4,2,Rural,1986,217625,6,147.44
472,2069,2,2,Rural,2021,179620,4,86.81
473,2396,5,2,Rural,1952,304273,7,126.99
474,1517,3,3,Suburb,1978,180447,6,118.95
475,1098,3,3,Urban,2011,96810,6,88.17
476,2915,2,1,Suburb,1982,293526,3,100.7
477,2768,5,3,Rural,2009,333028,8,120.31
478,2060,3,3,Suburb,1991,261561,6,126.97
479,1279,3,2,Urban,2011,60827,5,47.56
480,2372,3,1,Suburb,1955,278442,4,117.39
481,1496,2,3,Rural,1998,123828,5,82.77
482,1301,4,1,Rural,2021,88586,5,68.09
483,1180,3,2,Rural,1992,134444,5,113.94
484,1606,3,3,Urban,1958,136925,6,85.26
485,2122,4,2,Rural,2000,234165,6,110.35
486,1699,3,2,Rural,1963,150305,5,88.47
487,1992,5,1,Rural,1973,240050,6,120.51
488,2139,3,3,Rural,2021,277543,6,129.75
489,1190,4,1,Suburb,1982,197241,5,165.75
490,1252,2,2,Rural,1978,101806,4,81.31
491,1980,2,3,Suburb,1951,197811,5,99.9
492,1927,5,2,Urban,2001,172279,7,89.4
493,2184,3,1,Suburb,1994,205236,4,93.97
494,2279,3,1,Suburb,1987,206409,4,90.57
495,2346,4,2,Suburb,1994,279440,6,119.11
496,1127,4,1,Suburb,1965,127175,5,112.84
497,1017,5,1,Suburb,1996,127458,6,125.33
498,2816,5,2,Suburb,1974,356064,7,126.44
499,2758,3,3,Urban,2006,344788,6,125.01
500,1565,3,3,Rural,1968,153283,6,97.94
501,1569,5,3,Urban,1987,23126,8,14.74
502,2346,2,2,Suburb,2015,297940,4,127.0
503,2895,2,2,Suburb,1956,348537,4,120.39
504,1685,2,1,Suburb,1969,145097,3,86.11
505,2815,2,3,Urban,1953,316533,5,112.45
506,1625,5,1,Suburb,1964,273167,6,168.1
507,2311,4,2,Urban,2013,343467,6,148.62
508,2966,2,3,Suburb,2006,258866,5,87.28
509,1853,5,2,Suburb,1999,197763,7,106.73
510,2686,2,1,Urban,1966,196431,3,73.13
511,1961,3,1,Urban,1965,192272,4,98.05
512,2662,2,2,Urban,1952,252806,4,94.97
513,1154,5,2,Urban,1994,20075,7,17.4
514,1489,3,3,Suburb,1993,225168,6,151.22
515,2409,3,2,Suburb,2011,333109,5,138.28
516,1784,2,1,Rural,1958,253463,3,142.08
517,2127,2,1,Suburb,2009,273921,3,128.78
518,2952,3,2,Suburb,2006,230500,5,78.08
519,2416,4,2,Suburb,2010,361696,6,149.71
520,2834,5,3,Suburb,2013,319790,8,112.84
521,1245,5,1,Suburb,1966,174765,6,140.37
522,2199,5,1,Rural,2007,300719,6,136.75
523,2062,5,1,Urban,1996,261327,6,126.73
524,2500,5,2,Suburb,2001,363562,7,145.42
525,2705,3,1,Suburb,1967,251735,4,93.06
526,1758,5,2,Urban,1986,280966,7,159.82
527,1537,4,3,Urban,2019,110904,7,72.16
528,2890,4,2,Rural,1966,335743,6,116.17
529,2841,2,3,Rural,1952,276296,5,97.25
530,1920,2,3,Rural,1982,222212,5,115.74
531,1407,2,2,Urban,1956,221698,4,157.57
532,1524,2,3,Suburb,1951,223582,5,146.71
533,1827,3,2,Urban,1983,206213,5,112.87
534,2529,4,1,Suburb,1953,214946,5,84.99
535,1902,3,2,Urban,1998,152143,5,79.99
536,2848,4,3,Urban,1966,376480,7,132.19
537,1035,3,3,Urban,2020,135298,6,130.72
538,1684,4,1,Urban,1961,160232,5,95.15
539,1019,2,2,Suburb,1993,70855,4,69.53
540,1320,4,1,Suburb,1998,183737,5,139.19
541,2799,2,3,Suburb,2018,388319,5,138.73
542,1511,4,2,Suburb,1966,165074,6,109.25
543,1399,3,3,Rural,1987,213210,6,152.4
544,1653,5,2,Rural,2005,140383,7,84.93
545,1971,4,1,Urban,2010,260495,5,132.16
546,2906,3,1,Suburb,1981,385305,4,132.59
547,1470,5,3,Suburb,2005,144255,8,98.13
